Red,Green,Blue
51.00,86.06,103.59
51.32,86.60,104.25
49.58,85.00,108.61
54.41,86.42,100.29
49.08,84.29,110.96
53.78,88.47,98.88
51.22,85.74,109.13
55.39,85.70,106.60
53.32,85.77,107.80
54.15,89.81,108.21
53.76,85.46,104.76
52.72,85.82,107.88
52.10,85.00,105.56
47.39,83.50,112.83
48.63,84.12,110.41
48.66,85.60,110.83
48.90,86.46,110.91
48.74,86.16,110.53
48.62,84.34,108.15
52.59,87.66,102.00
55.74,87.79,97.54
55.43,87.31,97.01
55.43,87.31,97.01
55.43,87.31,97.01
55.74,87.79,97.54
51.63,86.04,103.25
52.34,86.86,105.79
51.45,87.24,106.25
52.83,86.35,104.64
48.52,83.50,112.83
58.76,87.59,102.00
59.28,87.51,103.51
57.77,86.66,103.59
50.28,83.80,111.34
49.12,83.61,114.96
56.92,84.23,106.88
53.12,85.00,111.56
49.84,84.61,111.27
58.35,86.33,104.72
58.91,86.68,103.51
58.91,86.68,103.51
59.17,86.67,103.33
51.76,81.42,110.46
53.23,84.79,111.41
47.13,81.63,118.66
47.54,82.12,118.42
46.24,80.24,119.68
46.36,80.45,119.32
46.88,80.97,119.33
53.12,86.52,103.21
54.33,85.37,106.43
58.62,85.00,100.63
52.38,85.00,110.70
52.38,85.00,110.70
52.38,85.00,110.70
60.51,87.88,95.08
55.21,86.75,102.53
53.82,85.85,105.08
50.27,83.17,113.33
50.26,83.76,114.47
50.26,83.76,114.47
50.26,83.76,114.47
50.26,83.76,114.47
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.98
50.07,83.45,114.98
50.07,83.45,114.05
50.07,83.45,114.05
50.07,83.45,114.98
50.07,83.45,114.98
50.07,83.45,114.98
50.07,83.45,114.98
50.07,83.45,114.98
50.07,83.45,114.98
54.13,86.90,103.99
55.87,87.39,100.28
55.87,87.39,100.28
55.87,87.39,100.28
